feature_counts@TOEIC_Script	Corrected_TTR,feature_counts@TOEIC_Script	Root_TTR,feature_counts@TOEIC_Script	aoa_freq,feature_counts@TOEIC_Script	aoa_score,feature_counts@TOEIC_Script	concrete_5,feature_counts@TOEIC_Script	concrete_6,feature_counts@TOEIC_Script	concrete_freq,feature_counts@TOEIC_Script	concrete_score,feature_counts@TOEIC_Script	image_5,feature_counts@TOEIC_Script	image_6,feature_counts@TOEIC_Script	image_freq,feature_counts@TOEIC_Script	image_score,feature_counts@TOEIC_Script	listenability_UV_GenSrvcList_token,feature_counts@TOEIC_Script	listenability_UV_GenSrvcList_type,feature_counts@TOEIC_Script	listenability_biber_token,feature_counts@TOEIC_Script	listenability_biber_type,feature_counts@TOEIC_Script	listenability_bnc_token,feature_counts@TOEIC_Script	listenability_bnc_type,feature_counts@TOEIC_Script	listenability_fisher_token,feature_counts@TOEIC_Script	listenability_fisher_type,feature_counts@TOEIC_Script	listenability_micaseBiber_token,feature_counts@TOEIC_Script	listenability_micaseBiber_type,feature_counts@TOEIC_Script	listenability_micase_token,feature_counts@TOEIC_Script	listenability_micase_type,feature_counts@TOEIC_Script	listenability_swb_train_token,feature_counts@TOEIC_Script	listenability_swb_train_type,AccNum,Rbis
2.539,3.5907,2.1579,3.845,2.4574,2.1579,2.9336,3.6196,2.4574,1.8599,2.9513,3.712,9972.2353,3333.0,11848.4815,4876.5,57397.7857,21462.1053,116570.6071,42133.6316,496.8214,170.8421,1573.3043,712.9286,495.1786,679.5263,VE310796,0.34
3.1113,4.4,2.0828,3.02,2.5065,2.2068,2.9643,3.6548,2.4487,2.0828,2.9643,3.7165,20205.6429,14482.1818,18290.913,13065.7,84718.0,58787.4545,145816.16,101155.4545,337.6957,191.3,2098.4762,1508.9444,1516.8,1695.1818,VE310006,0.4
1.8764,2.6536,2.4664,2.82,2.3208,2.2244,2.9627,3.4255,2.3997,2.2244,2.9627,3.5782,29381.9167,15588.0,20195.7917,11799.4615,103001.7917,61889.3077,157908.0833,98592.6154,216.5,194.0769,2644.0526,1447.3636,192.7917,111.7692,VE336202,0.64
2.0801,2.9417,2.2862,2.494,2.4895,0.0,2.9834,3.7124,2.4895,1.5962,2.9834,3.8588,30421.1667,18101.5714,19315.3077,11791.0667,97179.4231,61018.3333,151356.6538,99173.8,227.2692,207.6667,2469.0476,1804.8,749.8077,637.0,VC474372,0.75
2.0801,2.9417,2.1899,2.6225,2.2862,2.0659,2.928,3.4014,2.2862,1.8917,2.9472,3.6291,13843.1429,5067.3333,14945.1154,4805.6,76699.2,25289.2857,146211.6154,44437.8,625.0,178.6667,2045.8182,769.0909,195.1923,260.6667,VF005819,0.36
2.8887,4.0853,2.2391,2.8280000000000003,2.5389,2.3178,2.9183,3.9383,2.5389,2.4423,2.9183,4.0825,9371.1111,7900.7857,11915.1379,9352.2273,49970.7586,40367.9091,121867.1724,87316.4091,3476.2759,2256.7727,1691.3462,1319.6842,6704.3103,4556.5,VE501106,0.2
3.1514,4.4567,2.1428,3.3825,2.1428,1.8449,2.8604,3.4967,2.1428,0.0,2.8604,3.61,16959.8462,12586.4444,13088.72,8310.0,67012.28,40358.619,123965.44,65007.2381,436.2,144.0476,1624.3182,1047.0556,140.2083,131.25,VE083140,0.4
2.875,4.0659,2.1966,3.71,2.3997,1.5085,2.9425,3.5354,2.1004,0.0,2.9425,3.5032,18864.4737,14337.1538,17366.4375,12565.0435,88009.1667,62709.7273,157170.3871,113142.2727,1191.9062,810.5652,2094.8214,1577.7895,1467.5312,1293.6522,VH004321,0.41
3.0735,4.3466,2.2542,3.18,2.5084,2.1579,2.9513,3.6264,2.4574,1.5648,2.9513,3.7624,12461.7647,11831.7692,13593.5714,11701.087,62020.6071,51579.6087,129207.0357,109231.913,1936.7143,2158.2609,2112.381,1975.75,3518.1429,4266.5217,VC390202,0.45
2.6348,3.7262,2.1899,3.2825,2.3651,0.0,2.928,3.6859,2.4317,0.0,2.928,3.9168,12172.0,11248.5,10889.04,8389.8889,54078.3077,41204.4737,110731.2692,83479.4211,225.0,178.5,1278.8571,987.2,2692.3077,2022.2105,VF562738,0.62
